ICD10.V11.,K02,Dentistry,Dental caries,62,42,38,65,206,103,,32%,,31%,,
ICD10.V11.,K04.0,Dentistry,Pulpitis,13,5,9,8,34,17,,28%,,56%,,
ICD10.V11.,K05.3,Dentistry,Chronic periodontitis,8,7,11,3,28,14,,,27%,40%,,
ICD10.V11.,K04.7,Dentistry,Periapical abscess without sinus,11,2,4,9,26,13,,62%,,,,
ICD10.V11.,K08.3,Dentistry,Retained dental root,7,6,6,6,24,12,,38%,,23%,,
ICD10.V11.,K02.5,Dentistry,Caries with pulp exposure,9,2,3,8,22,11,,27%,27%,27%,,
ICD10.V11.,K05.0,Dentistry,Acute gingivitis,5,5,0,10,20,10,,20%,20%,50%,,
ICD10.V11.,K04,Dentistry,Diseases of pulp and periapical tissues,8,2,5,5,20,10,20%,40%,20%,20%,,
ICD10.V11.,K05,Dentistry,Gingivitis and periodontal diseases,9,1,3,6,18,9,,,60%,20%,,
ICD10.V11.,K05.4,Dentistry,Periodontosis,5,4,3,6,18,9,,,,44%,,
ICD10.V11.,K02.1,Dentistry,Caries of dentine,3,4,2,5,14,7,,29%,29%,29%,,
ICD10.V11.,K05.1,Dentistry,Chronic gingivitis,4,3,3,4,14,7,,,57%,29%,,
ICD10.V11.,K01.1,Dentistry,Impacted teeth,3,0,0,3,6,3,,,33%,67%,,
ICD10.V11.,K05.2,Dentistry,Acute periodontitis,0,2,1,1,4,2,,,50%,50%,,
ICD10.V11.,K29.7,Dentistry,"Gastritis, unspecified",2,0,0,2,4,2,,,50%,50%,,
ICD10.V11.,K06.1,Dentistry,Gingival enlargement,1,1,1,1,4,2,,,,50%,50%,
ICD10.V11.,K05.6,Dentistry,"Periodontal disease, unspecified",1,1,2,0,4,2,,,,100%,,
ICD10.V11.,L90,Dentistry,Atrophic disorders of skin,0,1,0,1,2,1,,,,,100%,
ICD10.V11.,M94.0,Dentistry,Chondrocostal junction syndrome [Tietze],1,0,1,0,2,1,,,,100%,,
ICD10.V11.,U87.1,Dentistry,"Chronic kidney disease, stage 3 to 5",1,0,0,1,2,1,,,100%,,,
ICD10.V11.,K59.0,Dentistry,Constipation,1,0,0,1,2,1,,,,100%,,
ICD10.V11.,K02.9,Dentistry,"Dental caries, unspecified",1,0,0,1,2,1,,100%,,,,
